tema,Movimiento Progresista,Nueva Alianza,Partido Acción Nacional,Compromiso por México
Fuerzas policíacas,,,, Promover la deliberación legislativa federal en tor_no al modelo de policía única.
Fuerzas policíacas,,,," Impulsar el sistema de carrera policial basado en principios de selección, capacitación, desarrollo pro_fesional, evaluación del desempeño y retiro digno."
Fuerzas policíacas,,,," Combatir de manera prioritaria mediante la creación de una policía especializada, los delitos que mayormente lastiman a la sociedad, como el homicidio, el secuestro, la extorsión, la trata de personas, y reducir en consecuencia los índices delictivos en dichas materias"
Inteligencia,," Institucionalizar políticas de inteligencia que permitan conocer a detalle, la operación y cadena delictiva de las organizaciones criminales"," Crear una nueva especialidad en Inteligencia Policial, para desarrollar una policía científica en materia criminal a nivel federal y en los estados."," Crear un centro de inteligencia único que concentre, sistematice y ofrezca a las autoridades competentes toda la información necesaria para la efectiva lucha contra el crimen organizado."
Inteligencia,,, Fortalecer el proyecto de Escuela de Inteligencia y Seguridad Nacional.,
Inteligencia,,," Incorporar las redes sociales, al sistema de información para la inteligencia del Estado mexicano.",
Inteligencia,,, Fortalecer las estrategias de blindaje y contrainteligencia del Estado mexicano.,
Inteligencia,,," Impulsaremos los mecanismos para unificar la forma de recabar, procesar, distribuir y usar la información de inteligencia.",
Reformas sociales," Vincular la política social y el empleo en zonas críticas para canalizar recursos a educación, salud, desarrollo comunitario, empleo, prevención y erradicación de la violencia de género y trabajo social con jóvenes en situación de riesgo"," El asunto de la seguridad debe pasar de un asunto exclusivo de policías y sistema de sanciones penales, a uno mucho más amplio anclado también en lo social. "," Estableceremos un programa nacional contra la violencia y la delincuencia a efecto de que la sociedad civil evalúe permanentemente los resultados en el combate de las causas y factores que confluyen en la comisión de delitos del orden local y federal, desde el punto de vista social, comunitario, situacional y psicosocial, combatiendo la impunidad para disminuir los niveles de incidencia delictiva."," Prevenir la comisión de hechos delictivos a través de acciones públicas coordinadas entre las secre_tarias de Educación Pública, Salud, Desarrollo Social y Seguridad Pública, entre otras."
Reformas sociales,," Construir la confianza a partir de la identificación de necesidades en una comunidad, centrándose en la fortaleza de las entidades afectadas por el crimen y la violencia, proporcionando el potencial para escalar las necesidades de una colectividad para obtener intervenciones del aparato público.",,
Lavado de dinero, Llevar a su máxima intensidad la persecución del delito de lavado de dinero en sinergia con los cuerpos de inteligencia civil. La lucha contra el lavado de dinero debe ser considerada la tarea fundamental y fortalecerse con infraestructura y capacidad humana.," Se deben llevar a cabo acciones que combatan al narcotráfico en cuanto a su financiamiento, enfrentando el lavado de dinero."," Mejorar la normatividad en materia de lavado de dinero, a fin de desquebrajar la estructura financiera de las bandas criminales, dando particular relevancia a la profesionalización del personal altamente capacitado en materia de inteligencia financiera.", Combatir los circuitos financieros del dinero de origen ilegal con una mayor actividad de las ins_tancias hacendarias e instrumentos de coopera_ción internacional.
Lavado de dinero,,,," Transformar la Unidad de Inteligencia Financie_ra en órganos desconcentrado de la SHCP, con mayores recursos para el combate al lavado de dinero. "
Narcotráfico,"  Llevar a cabo una evaluación sobre cuál debe ser la política antidrogas  con expertos e instituciones públicas y privadas, nacionales e internacionales, y con los representantes políticos y legislativos de gobiernos de AL sobre las alternativas para combatir al narcotráfico, incluyendo la valorización de la despenalización de la utilización del tetrahidrocanabinol ",," Fortaleceremos la capacitación del personal y la estructura tecnológica, en todas las aduanas del país, dotando de mayores facultades y recursos a las autoridades aduaneras, para combatir el contrabando de armas y mercancías."," Ampliar sustantivamente las políticas públicas de combate a las adicciones, con un doble objetivo: prevenir el incremento del consumo de drogas y reducir la venta de drogas al menudeo."
Narcotráfico," Gradualmente se retirará el Ejército y la Marina del combate al narcotráfico y no se les utilizará para resolver conflictos de orden social o para suplir la incapacidad del gobierno civil, mucho menos para reprimir al pueblo.",," Implementar, como parte de la rehabilitación contra las drogas y el alcoholismo, la creación de centros de artes y oficios, como parte central de la rehabilitación.",
Narcotráfico," Impulsar  medidas legislativas y de políticas públicas para la prevención y tratamiento de las adicciones en la población en general, en particular para proteger a las niñas, los niños y las y los adolescentes",,,
Reinserción social ," Llevar a los hechos la readaptación y la reinserción sociales. Contemplar la prisión preventiva sólo para los delitos graves y revisar a fondo las disposiciones y prácticas en materia de medidas cautelares en el procedimiento penal – entre ellas, pero no exclusivamente, el llamado “arraigo” – a la luz de las garantías que otorga, en lo general, el sistema legal mexicano, así como a lo dispuesto por el régimen internacional en materia de derechos humanos. Dejar de ver a la prisión como la medida más adecuada para la solución del conflicto social generado por los delitos violentos, dimensionándola como un último recurso únicamente para los delitos violentos y sólo con fines de protección social, readaptación y reinserción.",," Fortalecer la transformación de los centros penitenciarios, con el fin de separar a la delincuencia de alta peligrosidad de la delincuencia común.", Modernizar el sistema de reinserción social con una perspectiva humana y efectividad en el cum_plimiento del objetivo de que los reclusorios no sean auténticas escuelas de criminales.
Reinserción social ,,,," Prestar atención social y laboral a las personas que hayan obtenido libertad anticipada, con la finalidad de facilitar su reinserción en la sociedad."
Reinserción social ,,,,"Con la gobernabilidad democrática, el PRI busca rei_vindicar el valor de la política y la democracia como forma de gobierno que respeta la ley, y con justicia hace valer el Estado de derecho, garantiza la seguridad de to_dos, se opone a todo tipo de discriminación y beneficia a los mexicanos en su conjunto."
Otras propuestas," Impulsar iniciativas legislativo y políticas públicas basadas en la  instrumentación de los principios y directrices establecidos en los tratados y convenciones en la materia particularmente la Convención Internacional de Palermo contra la Delincuencia Organizada Transnacional (200, a saber, atacar: a) la estructura cupular de las bandas delincuenciales y b) la estructura del sicariato; así como desmantelar: c) la estructura financiera que les permite lavar dinero en la economía formal y d) la estructura política que les protege"," La (re) construcción de una sociedad en paz requiere del reconocimiento de que las condiciones económicas y sociales se encuentran erosionadas por la violencia y, por lo tanto, es una tarea colectiva, que exige la participación de la sociedad entera."," Crear un fideicomiso público, integrado por los bienes decomisados a la delincuencia organizada, para apoyar las actividades productivas de aquellas comunidades que se encuentren en situación de riesgo, o que hayan sido afectadas en su actividad económica por la acción de la delincuencia."," Apoyar la reglamentación de la reforma constitucional en materia de derechos humanos y, de manera específica, la del artículo 29 constitucional."
Otras propuestas, Impulsar reformas a la Ley Federal Contra la Delincuencia Organizada para evitar que sus disposiciones se apliquen en contra de luchadoras y luchadores sociales.,," Promover un acuerdo de unidad nacional, que dé sustento a la reforma y la nueva estrategia de seguridad nacional, garantizando la seguridad del Estado y la de las personas, con fundamento en la reforma constitucional en materia de derechos humanos, velando especialmente por el acceso efectivo de grupos vulnerables al ejercicio de sus derechos y garantías, así como a la justicia."," Fortalecer la cooperación entre países, con objeto de frenar el contrabando de armas, municiones y dinero."
Otras propuestas,,, Incluir en la Agenda Anual de Riesgos y Amenazas la corrupción y la impunidad como amenazas a la seguridad nacional., Impulsar un programa de cooperación internacional para combatir la corrupción en las aduanas del país.
Otras propuestas,,,," Afianzar el control de las fronteras norte y sur, tanto en el aspecto de tránsito de personas como el de mercancías, para impedir las actividades del crimen organizado."
