sexo,nombre,apellidos,partido,tipo_de_eleccion,entidad,distrito,circunscripcion,telefono,extension,correo_electronico,twitter,comisiones,bio,suplente_nombre,suplente_apellido
F,Adriana,Fuentes Téllez,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,1,,,,,,,,Luis,Tapia Hernández
M,Héctor,García García,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,11,,,,,@LicHectorGarcia,,,Diego Cristóbal,Calderón Estrada
F,Ana Lilia,Garza Cadena,Partido Verde Ecologista de México,Representación proporcional,Baja California,,1,,,,,,,Orlando Omar,Pérez Ortega
M,Marcelo,Garza Ruvalcaba ,Partido de la Revolución Democrática,Representación proporcional,Nuevo León,,2,,,,,,,Humberto,García Sosa
M,Juan Manuel ,Gastélum Buenrostro,Partido Acción Nacional,Mayoría Relativa,Baja California,5,,,,,@JmGastelumB ,,,Alejandro Martín,Palacios Ochoa
M,Marco Antonio,González Valdez,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,9,,,,,@marcoprinl,,,Cutberto,Cantorán Espinoza
M,Abel,Guerra Garza,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,3,,,,,@AbelGuerraG,,,Elda Yolanda,Hernández Salcido
M,Héctor Humberto,Gutiérrez de la Garza,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,5,,,,,@HectorHGutierre,,,Hermelinda,Martínez Martínez
M,Gilberto Antonio ,Hirata Chico,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,3,,,,,@gilbertohiratac,,,Fernando,Camacho Ochoa
F,María de Jesús,Huerta Rea,Partido Revolucionario Institucional,Representación proporcional,Nuevo León,,2,,,,@maryhuertarea,,,Norma Lucía,Ley Zevada
M,Fernando,Larrazábal Bretón,Partido Acción Nacional,Mayoría Relativa,Nuevo León,10,,,,,@FerLarrazabal,,,Christian Manuel,Narváez Romero
M,Jaime Chris,López Alvarado,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,6,,,,,@ChrisLopezBC,,,Elida,Segura Sifuentes
M,José Martín,López Cisneros,Partido Acción Nacional,Mayoría relativa,Nuevo León,7,,,,,,,,Blanca Aurelia,Anzaldua Nájera
M,Jorge,Mendoza Garza,Partido Revolucionario Institucional,Representación proporcional,Nuevo León,,2,,,,,,,Norma Esther,Almeida García
M,Abraham,Montes Alvarado,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,5,,,,,@AbrahamMontesD5,,,,
M,Luis Alfredo ,Murguía Lardizabal,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,4,,,,,@Luis_Murguia04,,,,
M,Homero Ricardo,Niño de Rivera Vela,Partido Acción Nacional,Mayoría Relativa,Nuevo León,1,,,,,@HomeroNR,,,,
M,David ,Pérez Tejada Padilla,Partido Verde Ecologista de México,Mayoría Relativa,Baja California,7,,,,,,,,,
F,Rocío Esmeralda,Reza Gallegos,Partido Acción Nacional,Representación proporcional,Chihuahua,,1,,,,@Rocio_Reza,,,,Martha Gómez del Campo Braham
M,Ernesto Alfonso,Robledo Leal,Partido Acción Nacional,Mayoría relativa,Nuevo León,8,,,,,@Alfonso_Robledo,,,,
F,Mayra Karina ,Robles Aguirre,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,8,,,,,,,,,
F,Verónica,Sada Pérez,Partido Acción Nacional,Representación proporcional,Nuevo León,,2,,,,,,,,
M,José Arturo,Salinas Garza,Partido Acción Nacional,Representación proporcional,Nuevo León,,2,,,,@jarturosalinas,,,,
F,María Fernanda ,Schroeder Verdugo,Partido Revolucionario Institucional,Mayoría Relativa,Baja California,2,,,,,@FernandaSchVer,,Cirujana Dentista,,
F,Crystal ,Tovar Aragón,Partido de la Revolución Democrática,Representación proporcional,Chihuahua,,1,,,,,,"Lic. en Mercadotecnia, maestría en Población, desarrollo y Políticas Públicas. ",,
M,Javier,Treviño Cantú,Partido Revolucionario Institucional,Representación proporcional,Nuevo León,,2,,,,@javier_trevino,,,,
M,Pedro Pablo,Treviño Villarreal,Partido Revolucionario Institucional,Mayoría relativa,Nuevo León,12,,,,,,,,,
F,Diana Karina,Velázquez Ramírez,Partido Revolucionario Institucional,Mayoría relativa,Chihuahua,9,,,,,@DianaKarinaVR,,,,
